114,10,362,30,59,8,9,0.0020241737365722656
298,12,340,22,44,5,15,0.05285978317260742
233,11,290,27,64,7,102,0.027895450592041016
238,11,340,12,54,7,40,0.00897669792175293
270,11,380,18,40,6,11,0.04388141632080078
279,11,380,29,33,6,58,0.01499176025390625
285,10,383,16,43,7,70,0.01592564582824707
287,9,390,25,48,7,21,0.08178138732910156
300,10,352,18,57,6,3,0.0009968280792236328
263,10,378,15,48,7,38,0.007978200912475586
124,10,385,14,58,8,12,0.056848764419555664
161,10,334,17,65,8,30,0.0069811344146728516
250,10,349,27,53,7,12,0.0039899349212646484
238,11,370,18,42,7,74,0.3041872978210449
274,9,375,15,58,7,304,0.10272693634033203
