cr5,cr3,cr2,cr1,cr4,cost
2,0,0,0,0,2400
0,0,0,0,3,2400
2,0,0,1,0,2500
1,1,0,0,1,2500
1,0,2,0,1,2500
1,0,0,5,1,2500
0,0,0,1,3,2500
1,0,1,3,1,2550
2,0,0,2,0,2600
1,1,0,1,1,2600
1,0,2,1,1,2600
1,0,0,6,1,2600
0,0,0,2,3,2600
2,0,1,0,0,2650
1,0,1,4,1,2650
0,0,1,0,3,2650
2,0,0,3,0,2700
1,1,0,2,1,2700
1,0,2,2,1,2700
1,0,0,7,1,2700
0,0,0,3,3,2700
2,0,1,1,0,2750
1,1,1,0,1,2750
1,0,3,0,1,2750
1,0,1,5,1,2750
0,0,1,1,3,2750
2,0,0,4,0,2800
1,1,0,3,1,2800
1,0,0,0,2,2800
1,0,2,3,1,2800
1,0,0,8,1,2800
0,0,0,4,3,2800
2,0,1,2,0,2850
1,1,1,1,1,2850
1,0,3,1,1,2850
1,0,1,6,1,2850
0,2,1,0,2,2850
0,1,3,0,2,2850
0,1,1,5,2,2850
0,0,1,2,3,2850
0,0,5,0,2,2850
0,0,3,5,2,2850
0,0,1,10,2,2850
2,1,0,0,0,2900
2,0,2,0,0,2900
2,0,0,5,0,2900
1,1,0,4,1,2900
1,0,0,1,2,2900
1,0,2,4,1,2900
1,0,0,9,1,2900
0,2,0,3,2,2900
0,1,0,0,3,2900
0,1,2,3,2,2900
0,1,0,8,2,2900
0,0,2,0,3,2900
0,0,0,5,3,2900
0,0,4,3,2,2900
0,0,2,8,2,2900
0,0,0,13,2,2900
2,0,1,3,0,2950
1,3,1,0,0,2950
1,2,3,0,0,2950
1,2,1,5,0,2950
1,1,1,2,1,2950
1,1,5,0,0,2950
1,1,3,5,0,2950
1,1,1,10,0,2950
1,0,3,2,1,2950
1,0,1,7,1,2950
1,0,7,0,0,2950
1,0,5,5,0,2950
1,0,3,10,0,2950
1,0,1,15,0,2950
0,2,1,1,2,2950
0,1,3,1,2,2950
0,1,1,6,2,2950
0,0,1,3,3,2950
0,0,5,1,2,2950
0,0,3,6,2,2950
0,0,1,11,2,2950
2,1,0,1,0,3000
2,0,2,1,0,3000
2,0,0,6,0,3000
1,3,0,3,0,3000
1,2,0,0,1,3000
1,2,2,3,0,3000
1,2,0,8,0,3000
1,1,2,0,1,3000
1,1,0,5,1,3000
1,1,4,3,0,3000
1,1,2,8,0,3000
1,1,0,13,0,3000
1,0,0,2,2,3000
1,0,4,0,1,3000
1,0,2,5,1,3000
1,0,0,10,1,3000
1,0,6,3,0,3000
1,0,4,8,0,3000
1,0,2,13,0,3000
1,0,0,18,0,3000
0,2,0,4,2,3000
0,1,0,1,3,3000
0,1,2,4,2,3000
0,1,0,9,2,3000
0,0,2,1,3,3000
0,0,0,6,3,3000
0,0,4,4,2,3000
0,0,2,9,2,3000
0,0,0,14,2,3000
2,0,1,4,0,3050
1,3,1,1,0,3050
1,2,3,1,0,3050
1,2,1,6,0,3050
1,1,1,3,1,3050
1,1,5,1,0,3050
1,1,3,6,0,3050
1,1,1,11,0,3050
1,0,1,0,2,3050
1,0,3,3,1,3050
1,0,1,8,1,3050
1,0,7,1,0,3050
1,0,5,6,0,3050
1,0,3,11,0,3050
1,0,1,16,0,3050
0,2,1,2,2,3050
0,1,3,2,2,3050
0,1,1,7,2,3050
0,0,1,4,3,3050
0,0,5,2,2,3050
0,0,3,7,2,3050
0,0,1,12,2,3050
2,1,0,2,0,3100
2,0,2,2,0,3100
2,0,0,7,0,3100
1,3,0,4,0,3100
1,2,0,1,1,3100
1,2,2,4,0,3100
1,2,0,9,0,3100
1,1,2,1,1,3100
1,1,0,6,1,3100
